county,FIPS,Latitude,Longitude,JanTmp,JulTmp,JanSun,JulSun,Elevtn,#mcd,T,U,S,totalpop,p1,p2,p3
RICHMOND   1,3245,334455,82029,458,804,173,270,145,4,171.5097,171.3697,171.5371,181629,144126,14461,14069
ROCKDALE   1,3247,336621,84027,441,790,171,279,770,3,145.7063,143.95,145.7063,36747,21544,10090,5113
SCHLEY     1,3249,322466,84317,469,806,158,278,385,2,114.2132,113.548,114.2132,3433,2619,814,0
SCREVEN    1,3251,327359,81629,490,810,173,270,195,5,129.9299,128.9235,130.2264,14043,7603,2340,1783
SEMINOLE   1,3253,310015,84872,521,814,174,248,120,2,127.5621,126.3911,127.5621,9057,6379,2678,0
SPALDING   1,3255,332587,84273,443,786,158,278,925,7,151.0736,150.9193,151.1408,47899,34924,3886,3356
STEPHENS   1,3257,345665,83305,440,779,156,275,1019,3,138.9803,138.0433,138.9803,21763,14306,4269,3188
STEWART    1,3259,320775,84776,490,804,174,248,476,3,118.1464,113.1061,118.1464,5896,2540,2346,1010
SUMTER     1,3261,320579,84217,490,804,174,248,476,4,144.7068,144.4644,144.7274,29360,22326,3126,2696
TALBOT     1,3263,326976,84558,470,786,158,278,700,3,118.9046,112.2279,118.9046,6536,2390,2304,1842
TALIAFERRO 1,3265,335674,82880,458,797,171,279,690,2,105.8831,104.5841,105.8831,2032,1407,625,0
TATTNALL   1,3267,320429,82046,511,811,178,283,170,3,134.3222,129.7621,134.3223,18134,8058,6839,3237
TAYLOR     1,3269,325600,84202,469,806,158,278,385,4,121.3085,117.7149,121.4617,7902,3496,2532,1217
TELFAIR    1,3271,319931,82899,496,814,174,248,120,4,128.0211,126.8912,128.1642,11445,6604,2089,1741
TERRELL    1,3273,317794,84432,490,804,174,248,355,4,130.347,129.9647,130.4815,12017,8172,1400,1294
THOMAS     1,3275,308632,83948,522,806,174,248,210,6,147.3304,147.1992,147.4471,38098,26986,2896,2232
TIFT       1,3277,314514,83520,498,804,174,248,360,6,143.9645,143.7511,144.1757,32862,21249,2820,2368
TOOMBS     1,3279,321824,82363,511,811,178,283,170,2,142.789,142.6305,142.789,22592,19661,2931,0
TOWNS      1,3281,351257,83770,378,729,156,275,1917,3,116.905,110.8148,116.905,5638,2167,2055,1416
TREUTLEN   1,3283,323953,82590,483,813,171,279,215,2,123.6431,123.4346,123.6431,6087,5197,890,0
TROUP      1,3285,330284,85034,456,790,158,278,715,6,151.778,151.4796,151.7976,50003,36307,5324,5227
TURNER     1,3287,317074,83635,511,819,174,248,371,3,127.3357,126.2617,127.3357,9510,6322,2411,777
TWIGGS     1,3289,326807,83397,478,814,171,279,354,2,126.9749,123.1883,126.975,9354,5109,4245,0
UNION      1,3291,348594,83996,378,729,156,275,1917,3,127.1089,125.7979,127.1089,9390,6122,2666,602
UPSON      1,3293,328989,84320,470,786,158,278,700,4,142.6624,142.4057,142.7004,25998,19357,2662,2547
WALKER     1,3295,348466,85330,409,779,138,270,797,8,143.9019,137.8811,145.5029,56470,14146,11456,11389
WALTON     1,3297,337836,83734,445,784,156,275,700,6,137.7902,135.3406,138.6954,31211,11862,5903,4696
WARE       1,3299,312237,82379,519,811,178,283,145,4,149.0855,148.9221,149.0926,37180,30409,4375,1429
WARREN     1,3301,334103,82667,464,798,173,270,510,5,116.9963,114.6301,117.6159,6583,2823,1393,1074
WASHINGTON 1,3303,329694,82796,453,798,171,279,360,6,132.9879,131.3939,133.2969,18842,9023,3734,2488
WAYNE      1,3305,316000,81912,511,811,178,283,80,3,139.528,139.1027,139.528,20750,15396,2857,2497
WEBSTER    1,3307,320441,84556,490,804,174,248,476,2,106.999,103.2867,106.999,2341,1286,1055,0
WHEELER    1,3309,321487,82736,483,813,171,279,155,2,118.3177,113.3818,118.3177,5155,2589,2566,0
WHITE      1,3311,346004,83735,409,758,156,275,1430,3,126.9405,125.0903,126.9406,10120,5829,2749,1542
WHITFIELD  1,3313,347795,84961,409,782,138,270,720,3,156.8025,156.5074,156.8025,65789,51445,9125,5219
WILCOX     1,3315,319800,83447,496,814,174,248,240,4,119.0265,115.0779,119.7783,7682,2912,1910,1591
WILKES     1,3317,337671,82752,441,789,156,275,630,3,129.1738,128.3071,129.1739,10951,7285,2000,1666
WILKINSON  1,3319,328297,83233,478,814,171,279,354,4,124.949,120.8381,125.2189,10368,4341,3561,1339
WORTH      1,3321,315408,83839,498,804,174,248,360,5,133.2119,132.2551,133.6311,18064,9578,2778,2301
ADA        1,6001,435929,115980,290,745,117,409,2838,5,172.4227,172.3944,172.4281,173036,154735,8631,4438
ADAMS      1,6003,448334,116395,189,630,115,419,3870,2,112.856,111.2606,112.8561,3347,2235,1112,0
BANNOCK    1,6005,428588,112418,232,715,109,386,4454,4,157.8493,157.779,157.8552,65421,56185,4789,2825
BEAR LAKE  1,6007,422998,111329,180,658,109,386,5960,3,121.8553,120.175,121.8553,6931,4146,1954,831
BENEWAH    1,6009,472789,116630,275,674,72,390,2145,3,125.174,123.8586,125.174,8292,5352,2309,631
BINGHAM    1,6011,431819,112391,234,714,109,386,4487,8,139.2532,135.714,140.033,36489,12173,7765,5793
BLAINE     1,6013,435434,114270,191,673,115,419,5328,3,126.5543,122.2038,126.5543,9841,4772,4267,802
BOISE      1,6015,439481,116038,232,662,115,419,3965,3,107.8725,103.0378,107.8725,2999,1264,968,767
BONNER     1,6017,482679,116620,257,652,72,390,2100,4,137.5827,134.3983,137.687,24163,11112,7065,4314
BONNEVILLE 1,6019,434997,112007,189,689,109,386,4730,4,158.1781,158.1165,158.184,65980,57515,5015,1794
BOUNDARY   1,6021,487109,116307,250,670,72,390,1860,3,123.4215,122.6092,123.4215,7289,4908,1326,1055
BUTTE      1,6023,436993,113298,189,689,109,386,4730,2,115.1964,115.0333,115.1964,3342,2903,439,0
CAMAS      1,6025,433366,114845,165,656,115,419,5000,2,94.3688,94.0727,94.3688,818,679,139,0
CANYON     1,6027,436212,116653,293,739,117,409,2370,8,155.5723,153.5063,155.6894,83756,41783,23286,6062
CARIBOU    1,6029,426535,111666,195,654,109,386,5550,5,124.6142,122.8569,124.6335,8695,4993,2434,976
CASSIA     1,6031,424703,113749,256,709,121,409,4146,4,136.4725,135.9281,136.6778,19427,12355,2470,2422
CLARK      1,6033,442452,112259,180,688,109,386,5452,2,94.1052,93.837,94.1052,798,668,130,0
CLEARWATER 1,6035,464903,116128,309,731,75,410,1027,4,126.6459,125.6962,126.845,10390,6079,1615,1610
CUSTER     1,6037,442305,114045,196,682,80,386,5175,3,110.9667,107.6984,110.9667,3385,1746,1269,370
ELMORE     1,6039,430886,115712,287,739,117,409,3185,3,141.9932,141.8325,141.9932,21565,18603,2787,175
FRANKLIN   1,6041,421080,111871,219,699,109,386,4820,3,126.9535,126.3118,126.9536,8895,6344,1771,780
FREMONT    1,6043,439911,111603,187,656,109,386,4950,5,127.8266,126.6445,127.9112,10813,6492,2547,1009
GEM        1,6045,438887,116508,297,730,117,409,2500,3,131.5911,130.9672,131.5911,11972,8760,2548,664
GOODING    1,6047,428652,114749,281,742,121,409,3265,4,127.5267,123.4956,127.6286,11874,5219,4217,1615
IDAHO      1,6049,459624,116119,276,662,89,419,3355,5,128.0739,124.7345,128.7844,14769,5687,3918,1921
JEFFERSON  1,6051,437244,112022,183,657,109,386,4890,5,130.2077,128.3684,130.5226,15304,7316,3180,2331
JEROME     1,6053,426882,114411,269,735,121,409,3740,3,135.7305,135.4255,135.7305,14840,11932,2434,474
KOOTENAI   1,6055,477014,116796,274,691,72,390,2158,5,152.5637,151.1756,152.5987,59770,35550,15605,4966
LATAH      1,6057,467484,116921,279,668,89,419,2660,5,142.8644,142.4852,142.9404,28749,19464,3417,2962
LEMHI      1,6059,451249,113847,188,680,80,386,3970,4,126.4417,126.3504,126.4442,7460,6361,623,357
LEWIS      1,6061,462441,116258,263,651,89,419,3145,5,110.6762,108.1778,111.3011,4118,1805,863,777
LINCOLN    1,6063,429781,114335,213,689,121,409,4306,2,114.1972,113.5149,114.1972,3436,2613,823,0
MADISON    1,6065,438192,111792,183,657,109,386,4890,3,139.5518,139.1092,139.5518,19480,15403,3869,208
MINIDOKA   1,6067,426250,113706,253,701,121,409,4210,4,134.9075,132.6063,135.0267,19718,9814,4826,3592
NEZ PERCE  1,6069,463980,116953,312,734,75,410,1413,3,148.3922,148.2704,148.3923,33220,29066,3774,380
ONEIDA     1,6071,421861,112292,233,708,109,386,4600,2,115.2351,115.1422,115.2351,3258,2925,333,0
OWYHEE     1,6073,433383,116648,252,642,117,409,5410,6,119.7405,116.3708,120.2532,8272,3185,2095,1285
PAYETTE    1,6075,440287,116893,282,748,117,409,2150,3,132.3422,129.1775,132.3422,15722,7738,4735,3249
POWER      1,6077,427523,112836,241,706,109,386,4318,4,123.4921,123.1458,123.4995,6844,5094,899,684
SHOSHONE   1,6079,475105,116060,254,641,115,419,2935,5,135.6001,133.2896,135.6412,19226,10290,6138,1517
TETON      1,6081,437225,111136,174,641,109,386,6116,3,107.5193,103.5204,107.5193,2897,1307,822,768
TWIN FALLS 1,6083,425551,114512,279,728,121,409,3690,7,150.4044,149.7302,150.5311,52927,32161,8470,5439
VALLEY     1,6085,447688,116055,202,636,115,419,4896,3,120.6922,119.7549,120.6922,5604,4027,1498,79
WASHINGTON 1,6087,443272,116913,275,741,117,409,2120,3,128.1284,127.9177,128.1284,8803,7091,967,745
ADAMS      1,7001,399468,91335,274,783,156,352,601,23,153.9845,153.7701,154.0791,71622,42554,6616,3296
ALEXANDER  1,7003,371036,89254,363,807,148,330,314,10,125.6934,125.3406,126.2687,12264,5931,966,911
BOND       1,7005,388891,89428,300,767,140,327,580,9,127.8738,126.4295,128.6659,16224,6396,2204,2052
BOONE      1,7007,422821,88835,205,727,130,318,825,9,142.0572,141.9299,142.2052,28630,18729,1848,1683
BROWN      1,7009,399703,90743,262,763,156,352,660,9,114.7324,113.8694,115.0822,5411,2678,836,461
BUREAU     1,7011,413840,89435,227,751,142,326,760,25,136.7452,131.8333,137.576,39114,9302,8788,2683
CALHOUN    1,7013,391394,90644,289,768,140,327,449,8,110.1933,104.9586,112.0084,5867,1444,1191,897
CARROLL    1,7015,420696,89977,209,728,142,326,837,12,126.2576,123.5728,128.1912,18779,5247,2693,2272
CASS       1,7017,399813,90310,262,763,140,327,615,11,129.0915,128.2018,129.4248,15084,7232,2163,1479
CHAMPAIGN  1,7019,401450,88214,269,753,130,315,743,30,161.1006,158.2707,161.4754,168392,58133,35978,18139
CHRISTIAN  1,7021,395231,89247,285,760,140,327,635,17,138.7733,136.5877,139.3021,36446,12933,7019,3151
CLARK      1,7023,393468,87812,289,764,134,336,575,15,126.365,120.9441,127.3045,16913,4373,4219,1903
CLAY       1,7025,387184,88482,315,772,134,336,500,12,128.2865,127.4798,128.6989,15283,6879,1835,1494
CLINTON    1,7027,385864,89460,309,777,148,330,501,15,130.0019,122.5326,133.8757,32617,4882,4677,4628
COLES      1,7029,394854,88264,289,764,134,336,710,12,147.5313,143.6639,147.6483,52260,21121,17359,3889
COOK       1,7031,418565,87727,243,747,130,318,607,31,215.2387,215.1896,215.3737,5253655,3005061,191359,158157
CRAWFORD   1,7033,390052,87746,309,774,134,336,514,10,133.1902,131.906,133.6,20818,9349,3222,2579
CUMBERLAND 1,7035,392762,88260,289,764,134,336,710,8,121.0192,115.3041,121.9734,11062,2958,2587,1970
DE KALB    1,7037,419179,88733,209,731,130,318,840,19,152.0626,151.5066,152.3518,74624,36375,8549,5739
DE WITT    1,7039,401739,88904,266,762,136,315,695,13,131.3871,130.5731,131.7363,18108,8524,2706,1165
DOUGLAS    1,7041,397755,88263,286,762,134,336,653,9,128.1537,123.8721,129.9368,19774,5357,3591,3219
DU PAGE    1,7043,418586,88029,229,719,130,318,680,10,175.9231,169.0671,179.1286,658835,122865,120470,97167
EDGAR      1,7045,396436,87722,286,762,134,336,739,15,134.957,134.7091,135.2484,21725,11354,1747,1206
EDWARDS    1,7047,384026,88037,327,772,132,339,490,8,118.1542,115.1225,118.6893,7961,2921,1614,1361
EFFINGHAM  1,7049,390961,88573,294,765,134,336,595,15,136.5163,135.6938,137.286,30944,12156,3504,2360
FAYETTE    1,7051,389946,89023,294,765,134,336,595,20,128.3202,126.961,129.5406,22167,6636,2335,1918
FORD       1,7053,405353,88228,252,743,130,315,690,12,127.2915,123.7911,127.7287,15265,5327,4071,1073
FRANKLIN   1,7055,379608,88958,336,783,132,339,445,12,137.5916,132.5178,139.8014,43201,9754,8018,5728
FULTON     1,7057,405168,90129,238,751,156,352,628,26,140.5117,139.7163,141.1091,43687,16065,4184,3547
GALLATIN   1,7059,377716,88230,349,788,132,339,400,10,114.7674,111.6805,115.9838,7590,2301,1239,1137
GREENE     1,7061,393720,90380,289,767,140,327,578,13,124.4551,117.4189,125.9237,16661,3425,3375,2827
GRUNDY     1,7063,413162,88373,236,739,130,318,580,17,131.3486,128.4097,133.547,30582,7337,3721,3637
HAMILTON   1,7065,380913,88547,336,783,132,339,450,12,120.5247,119.737,121.0501,9172,4022,1178,692
HANCOCK    1,7067,404166,91283,247,756,156,352,710,25,124.8262,120.1576,127.213,23877,4141,3495,1842
HARDIN     1,7069,374776,88287,342,778,132,339,400,10,106.0076,100.1681,108.9513,5383,1036,963,641
HENDERSON  1,7071,408172,90940,238,748,156,352,538,11,114.4098,110.3273,116.7445,9114,2095,1423,1147
HENRY      1,7073,413285,90105,215,745,142,326,639,24,139.6283,135.4484,141.4932,57968,11951,7616,7357
IROQUOIS   1,7075,407588,87827,252,743,130,315,620,26,126.2033,121.8146,130.1419,32976,4645,3298,2682
JACKSON    1,7077,377437,89282,340,782,148,330,380,16,150.5235,149.5083,150.6859,61522,31670,11712,3796
JASPER     1,7079,390004,88148,294,765,134,336,510,11,123.0954,122.6415,123.8664,11318,4919,914,858
JEFFERSON  1,7081,383108,88908,321,780,132,339,500,16,140.8133,139.9099,141.1453,36552,16282,5366,2564
JERSEY     1,7083,390765,90327,313,786,140,327,470,11,132.2876,131.0901,132.7878,20538,8835,2737,2570
JO DAVIESS 1,7085,424045,90282,196,722,142,326,770,23,126.6596,122.5355,128.4872,23520,4883,3505,2471
JOHNSON    1,7087,374621,88897,342,778,148,330,354,13,108.6814,101.6491,114.5967,9624,1148,1043,1043
KANE       1,7089,419138,88315,222,729,130,318,744,16,168.9713,165.975,169.5513,278405,99162,61576,35662
KANKAKEE   1,7091,411352,87839,248,742,130,315,625,17,153.9739,149.2375,154.4493,102926,31081,29316,6107
KENDALL    1,7093,416560,88425,239,742,130,318,520,9,142.05,140.3377,142.3715,37202,16772,6945,5209
KNOX       1,7095,409394,90329,238,748,156,352,771,21,151.3712,151.0758,151.4775,61607,35305,5942,4098
LAKE       1,7097,423109,87923,225,719,130,318,700,18,165.6769,162.5987,169.4022,440372,78471,45132,35220
LA SALLE   1,7099,413198,88919,247,755,130,318,474,37,146.4329,139.3286,149.4557,112033,15639,15276,13301
LAWRENCE   1,7101,387165,87720,310,772,134,336,450,9,130.6427,129.348,131.2063,17807,7830,2799,2054
LEE        1,7103,418050,89394,220,742,142,326,690,22,141.6018,141.2791,141.8448,36328,17903,3080,2275
LIVINGSTON 1,7105,409061,88577,254,750,130,315,647,30,138.2584,136.7541,139.0448,41381,13083,4830,4045
LOGAN      1,7107,401414,89365,266,762,136,315,590,17,136.685,131.8333,137.1802,31802,9302,8788,2404
MCDONOUGH  1,7109,404718,90664,247,756,156,352,702,19,143.1527,142.778,143.3425,37467,19863,4015,2218
MCHENRY    1,7111,422947,88359,205,727,130,318,825,17,158.0734,154.346,158.7829,147897,44287,31611,18102
MCLEAN     1,7113,404940,88946,262,757,136,315,785,31,158.0658,154.314,158.1951,119149,44189,36163,4939
MACON      1,7115,398489,88949,280,765,136,315,670,17,161.889,161.3268,162.0366,131375,71849,16596,11957
MACOUPIN   1,7117,392095,89878,292,768,140,327,625,26,132.1338,127.1296,136.8999,49384,6714,5223,4225
MADISON    1,7119,388051,90063,313,786,140,327,500,24,159.427,152.1371,162.4233,247691,38000,36815,34171
MARION     1,7121,385639,89031,315,772,134,336,500,17,143.4262,141.3202,143.6561,43523,17954,10055,2861
MARSHALL   1,7123,410639,89314,239,743,136,315,510,12,121.7121,116.6267,123.5456,14479,3242,2691,1876
MASON      1,7125,402722,89900,262,763,136,315,464,13,129.5416,127.0131,130.1742,19492,6660,3099,3003
MASSAC     1,7127,371718,88720,360,792,132,339,325,17,112.779,106.3118,119.476,14990,1586,1430,1267
MENARD     1,7129,400122,89809,267,761,136,315,570,12,123.7324,121.7243,124.2239,11700,4616,2385,1073
MERCER     1,7131,412060,90700,229,749,142,326,720,15,124.1125,121.2218,126.4981,19286,4458,2410,1997
MONROE     1,7133,383440,90175,322,799,148,330,645,23,112.0496,106.3027,121.0217,20117,1585,1242,1232
MONTGOMERY 1,7135,392076,89502,300,767,140,327,720,19,131.1221,125.3455,133.3511,31686,5933,5436,3695
MORGAN     1,7137,397216,90229,280,762,140,327,620,18,146.5212,146.4464,146.5891,37502,25614,1898,1798
MOULTRIE   1,7139,396368,88618,283,761,134,336,685,8,126.4279,124.961,127.3151,14546,5777,1973,1906
OGLE       1,7141,420183,89280,202,728,142,326,820,25,137.386,135.7104,139.0415,46338,12170,4731,4043
PEORIA     1,7143,407260,89628,238,751,136,315,652,20,169.4595,169.2184,169.5479,200466,124160,20925,9283
PERRY      1,7145,380565,89323,334,781,148,330,410,9,134.35,131.1634,134.5652,21714,8880,6340,1898
PIATT      1,7147,399929,88587,269,753,130,315,655,8,125.9389,123.6496,127.5982,16581,5275,2474,2067
PIKE       1,7149,396220,90871,274,770,140,327,700,24,122.9256,120.8481,124.9991,18896,4344,1931,1603
POPE       1,7151,373914,88540,342,778,132,339,354,6,105.7661,99.0689,108.4693,4404,960,862,817
PULASKI    1,7153,371826,89146,363,807,148,330,314,11,114.4448,112.0396,116.7038,8840,2359,1124,969
PUTNAM     1,7155,412228,89251,241,754,142,326,615,4,117.7941,115.8402,117.9979,6085,3070,1254,1166
RANDOLPH   1,7157,380568,89800,333,786,148,330,480,21,135.3659,131.7571,136.415,35652,9253,6343,3918
RICHLAND   1,7159,387207,88088,320,773,134,336,480,9,134.1382,133.8559,134.3155,17587,10702,1613,1403
ROCK ISLAN 1,7161,414904,90506,215,745,142,326,582,18,156.7903,152.513,159.297,165968,39003,26364,23155
ST. CLAIR  1,7163,385651,90042,322,799,148,330,450,22,162.4607,157.5238,164.4139,267531,55200,41580,35568
SALINE     1,7165,377561,88535,349,788,132,339,366,13,138.3686,136.0015,138.5484,28448,12418,7155,2950
SANGAMON   1,7167,397802,89646,267,761,140,327,588,27,166.3089,166.0439,166.4353,176089,99637,16413,10100
SCHUYLER   1,7169,401404,90570,262,763,156,352,660,13,116.8973,114.8884,117.6934,8365,2874,1479,682
SCOTT      1,7171,396463,90465,274,770,140,327,540,10,107.0984,101.7991,110.5017,6142,1160,955,740
SHELBY     1,7173,393975,88800,283,761,134,336,685,24,125.1718,123.3092,127.557,23923,5152,2130,1812
STARK      1,7175,410991,89789,231,744,136,315,765,8,115.7842,113.6194,116.836,7389,2632,1304,851
STEPHENSON 1,7177,423202,89640,196,722,142,326,780,18,147.0578,146.8858,147.2866,49536,26406,2920,2881
TAZEWELL   1,7179,406009,89545,238,751,136,315,670,19,154.3819,150.4209,156.0845,132078,33738,20849,19955
UNION      1,7181,374660,89243,342,778,148,330,645,20,116.8568,111.4466,121.8895,17765,2264,1761,1620
VERMILION  1,7183,401469,87655,276,751,130,315,558,19,154.348,153.2105,154.733,95222,40935,14396,8887
WABASH     1,7185,384264,87785,329,780,132,339,440,8,132.7345,132.5842,132.7951,13713,9799,1162,820
WARREN     1,7187,408887,90628,238,748,156,352,770,15,135.4427,135.2136,135.6954,21943,11758,1617,1359
WASHINGTON 1,7189,383607,89386,321,780,148,330,515,16,121.3451,118.5214,123.1872,15472,3697,1976,1626
WAYNE      1,7191,384105,88415,327,772,132,339,425,20,123.5793,121.8426,125.5253,18059,4654,1837,1588
WHITE      1,7193,380995,88182,336,783,132,339,390,10,130.0662,129.0764,130.6981,17864,7684,2502,1557
WHITESIDE  1,7195,417805,89819,219,742,142,326,603,22,145.8227,142.7518,146.5156,65970,19827,13327,5569
WILL       1,7197,415242,88029,239,742,130,318,520,24,167.0664,164.5066,168.273,324460,89566,47088,34641
WILLIAMSON 1,7199,377634,88973,340,782,148,330,477,12,142.6287,138.6535,144.3148,56538,14924,10207,7717
WINNEBAGO  1,7201,422888,89077,202,728,142,326,724,14,174.6816,174.4846,174.7204,250884,178858,26473,13608
WOODFORD   1,7203,407870,89253,239,743,136,315,750,17,129.6624,124.966,133.2644,33320,5779,4416,3338
ADAMS      1,8001,407630,84937,271,739,121,329,858,12,135.5804,133.3901,136.4219,29619,10362,4782,3902
ALLEN      1,8003,410813,85128,253,730,121,329,791,20,171.2377,169.6273,171.5448,294335,127729,55348,31897
BARTHOLOME 1,8005,392146,85895,301,751,125,321,621,12,152.0264,151.7571,152.2393,65088,37012,5631,4517
BENTON     1,8007,405860,87311,258,745,126,181,820,11,118.7853,115.8026,120.1125,10218,3062,1810,1235
BLACKFORD  1,8009,404702,85342,273,736,125,325,970,4,133.3047,132.393,133.3827,15570,9670,3103,1723
BOONE      1,8011,400343,86441,268,737,125,321,819,12,140.2529,138.1137,140.6536,36446,14376,7995,2725
BROWN      1,8013,392315,86230,312,762,129,307,820,4,126.5876,119.7692,126.8347,12377,4031,3774,3365
CARROLL    1,8015,405810,86584,276,745,121,324,560,14,124.98,121.2218,127.2385,19722,4458,3108,1982
CASS       1,8017,407580,86353,276,745,121,324,596,14,142.4233,142.0534,142.9089,40936,18890,3325,2779
CLARK      1,8019,383577,85728,357,781,126,299,455,12,158.0197,157.6878,158.1022,88838,55831,9196,7887
CLAY       1,8021,394681,87125,287,759,128,315,555,11,132.3483,130.3995,133.4296,24862,8422,3459,3168
CLINTON    1,8023,402939,86501,260,736,125,321,833,14,140.177,139.9594,140.4974,31545,16338,2182,1847
CRAWFORD   1,8025,383158,86431,357,781,129,307,417,9,115.8696,108.1298,118.5717,9820,1799,1769,1760
DAVIESS    1,8027,386994,87113,325,769,129,342,510,10,139.4673,138.9254,139.6633,27836,15208,3205,2788
DEARBORN   1,8029,391210,84928,311,756,126,299,869,14,134.6627,132.3586,136.1803,34291,9647,5157,2903
DECATUR    1,8031,393137,85503,294,741,125,321,875,9,135.4386,134.699,135.9273,23841,11346,3206,1903
DE KALB    1,8033,413815,85030,247,722,121,329,908,15,135.2057,131.8193,136.3168,33606,9293,6148,3734
DELAWARE   1,8035,402023,85393,264,731,125,325,957,12,163.0722,162.8793,163.1988,128587,80012,10812,7525
DUBOIS     1,8037,383576,86912,326,772,129,342,482,12,137.9555,135.5507,138.5545,34238,12036,6749,3431
ELKHART    1,8039,416421,85919,248,726,121,324,806,16,157.5983,154.9604,158.0633,137330,46214,23202,20115
FAYETTE    1,8041,396666,85146,272,731,125,325,940,9,140.12,138.2167,140.2122,28272,14479,7797,1582
FLOYD      1,8043,383109,85841,357,781,129,307,455,5,154.4413,154.2009,154.5273,61169,43844,6110,5273
FOUNTAIN   1,8045,401628,87268,272,748,128,315,620,11,127.3807,121.2153,128.4445,19033,4456,4019,3266
FRANKLIN   1,8047,394120,85073,292,738,126,299,670,13,126.3972,123.7014,128.0322,19612,5294,2999,1925
FULTON     1,8049,410515,86222,247,733,121,324,770,8,132.3261,131.4482,132.8553,19335,9057,2698,1827
GIBSON     1,8051,383165,87534,326,772,129,342,482,10,137.2694,135.5063,138.3085,33156,11999,4717,4197
GRANT      1,8053,405331,85662,258,733,125,321,791,13,149.878,148.0891,150.7751,80934,28703,11976,9405
GREENE     1,8055,390474,87031,293,757,129,342,550,15,133.9852,130.7982,134.9601,30416,8658,4882,4220
HAMILTON   1,8057,400314,86073,268,737,125,321,780,9,152.2923,149.9285,152.8146,82027,32606,18894,7435
HANCOCK    1,8059,398169,85806,281,748,125,321,900,9,142.1328,139.7791,142.8867,43939,16135,8114,5883
HARRISON   1,8061,382269,86097,357,781,129,307,455,12,131.6464,129.1569,133.3572,27276,7727,3977,2965
HENDRICKS  1,8063,397616,86438,279,750,125,321,792,12,146.1012,140.5765,147.2904,69804,17052,13351,12506
HENRY      1,8065,399253,85400,272,731,125,325,940,13,147.4829,147.0617,147.817,53336,26730,5094,4125
HOWARD     1,8067,404775,86128,276,755,125,321,855,11,157.1616,156.8014,157.2926,86896,52504,9628,6960
HUNTINGTON 1,8069,408601,85484,263,736,121,329,802,12,143.1709,142.9002,143.3986,35596,20032,3325,2072
JACKSON    1,8071,389210,86010,304,758,129,307,573,12,140.4342,139.4618,141.0116,36523,15784,4650,3786
JASPER     1,8073,410243,87136,232,728,126,181,658,13,132.9027,128.0373,133.8583,26138,7150,6578,2442
JAY        1,8075,404254,85042,273,736,125,325,970,12,133.464,130.7531,133.8969,23239,8631,5668,1362
JEFFERSON  1,8077,387566,85427,337,774,126,299,455,10,140.6094,139.8593,140.831,30419,16225,5162,1484
JENNINGS   1,8079,390077,85629,316,756,126,299,790,11,131.3063,129.3037,132.3633,22854,7806,3849,2164
JOHNSON    1,8081,395256,86091,297,752,125,321,770,9,151.2174,146.7209,151.5529,77240,26106,20527,12972
KNOX       1,8083,386962,87451,310,772,129,342,420,10,146.4677,146.0646,146.6123,41838,24945,5513,2316
KOSCIUSKO  1,8085,412550,85835,244,731,121,324,814,17,144.3408,143.196,145.3144,59555,20447,6587,5340
LAGRANGE   1,8087,416337,85439,234,724,121,329,1067,11,125.3147,120.2202,129.9912,25550,4159,3168,2778
LAKE       1,8089,415620,87400,247,740,126,181,597,11,179.8817,175.0289,180.2039,522965,185736,176901,42548
LA PORTE   1,8091,416464,86801,240,732,126,181,810,21,154.2464,150.8069,154.6393,108632,34653,22763,14679
LAWRENCE   1,8093,388414,86491,321,757,129,307,670,9,144.6977,143.2818,144.9263,42472,20569,8913,3509
MADISON    1,8095,401353,85703,282,743,125,321,847,14,160.4914,159.9112,160.9774,139336,65134,15411,10854
MARION     1,8097,397894,86140,279,750,125,321,792,9,180.6548,176.7055,182.4425,765233,208624,129008,122809
MARSHALL   1,8099,413415,86267,252,736,121,324,785,10,137.735,134.7383,139.237,39155,11377,7166,3913
MARTIN     1,8101,386911,86849,308,757,129,342,550,6,125.7903,124.5738,126.0421,11001,5624,1761,1646
MIAMI      1,8103,407381,86080,253,731,121,324,800,14,140.4153,137.5217,140.9327,39820,13798,8901,3838
MONROE     1,8105,392086,86595,312,762,129,307,820,11,155.7909,152.8327,156.1549,98785,39877,26634,9839
MONTGOMERY 1,8107,400162,86920,272,748,128,315,679,11,144.3506,144.2469,144.5431,35501,21992,1972,1764
MORGAN     1,8109,395060,86407,297,752,125,321,770,14,141.8518,138.9728,142.9225,51999,15258,9285,5290
NEWTON     1,8111,409278,87395,256,748,126,181,685,10,122.9085,118.7383,125.0157,14844,3753,2384,2311
NOBLE      1,8113,414210,85390,239,719,121,329,983,13,133.6402,130.1437,135.838,35443,8274,4798,4436
OHIO       1,8115,389536,84897,311,756,126,299,869,4,119.9298,119.78,119.9607,5114,4034,481,332
ORANGE     1,8117,385671,86503,309,750,129,307,640,10,130.3644,124.9685,130.74,18677,5780,5184,3210
OWEN       1,8119,393082,86798,312,762,128,315,820,13,124.4471,123.0777,125.7477,15841,5070,1823,1432
PARKE      1,8121,397575,87286,286,757,128,315,692,13,124.2323,121.4689,125.6695,16372,4535,2632,1635
PERRY      1,8123,379870,86717,341,782,129,307,394,7,137.7635,137.6498,137.8468,19346,13921,1359,1111
PIKE       1,8125,384258,87238,326,772,129,342,482,9,126.4028,123.614,126.7517,13465,5262,3213,1657
PORTER     1,8127,415271,87098,242,725,126,181,801,12,156.5968,152.7921,157.0115,119816,39765,29392,15311
